,pu,do,count
1,4,13,46
2,4,45,84
3,4,48,80
4,4,50,29
5,4,68,128
6,4,79,492
7,4,87,88
8,4,88,41
9,4,90,122
10,4,100,85
11,4,107,343
12,4,113,289
13,4,114,247
14,4,125,41
15,4,137,139
16,4,144,168
17,4,148,306
18,4,158,66
19,4,161,90
20,4,162,81
21,4,163,40
22,4,164,111
23,4,170,114
24,4,186,141
25,4,209,49
26,4,211,119
27,4,224,67
28,4,229,52
29,4,230,86
30,4,231,121
31,4,232,199
32,4,233,63
33,4,234,263
34,4,246,86
35,4,249,195
36,4,261,39
37,12,4,10
39,12,13,22
40,12,45,13
41,12,48,17
42,12,50,4
43,12,68,11
44,12,79,13
45,12,87,8
46,12,88,1
47,12,90,5
48,12,100,7
49,12,107,6
50,12,113,8
51,12,114,7
52,12,125,3
53,12,137,6
54,12,144,14
55,12,148,10
56,12,158,5
57,12,161,14
58,12,162,13
59,12,163,10
60,12,164,8
61,12,170,13
62,12,186,8
63,12,209,6
64,12,211,5
65,12,229,7
66,12,230,30
67,12,231,23
68,12,232,11
69,12,233,6
70,12,234,7
71,12,246,24
72,12,249,10
73,12,261,9
74,13,4,150
75,13,12,22
77,13,45,147
78,13,48,457
79,13,50,266
80,13,68,548
81,13,79,608
82,13,87,462
83,13,88,220
84,13,90,373
85,13,100,156
86,13,107,370
87,13,113,451
88,13,114,472
89,13,125,262
90,13,137,220
91,13,144,421
92,13,148,392
93,13,158,830
94,13,161,391
95,13,162,293
96,13,163,195
97,13,164,294
98,13,170,300
99,13,186,309
100,13,209,160
101,13,211,413
102,13,224,122
103,13,229,206
104,13,230,427
105,13,231,1389
106,13,232,209
107,13,233,187
108,13,234,595
109,13,246,775
110,13,249,720
111,13,261,156
112,45,4,94
113,45,12,8
114,45,13,83
116,45,48,91
117,45,50,35
118,45,68,93
119,45,79,255
120,45,87,181
121,45,88,67
122,45,90,40
123,45,100,57
124,45,107,109
125,45,113,71
126,45,114,121
127,45,125,23
128,45,137,60
129,45,144,138
130,45,148,180
131,45,158,58
132,45,161,60
133,45,162,46
134,45,163,38
135,45,164,78
136,45,170,75
137,45,186,74
138,45,209,82
139,45,211,91
140,45,224,26
141,45,229,44
142,45,230,107
143,45,231,176
144,45,232,209
145,45,233,61
146,45,234,86
147,45,246,52
148,45,249,87
149,45,261,109
150,48,4,65
151,48,12,9
152,48,13,205
153,48,45,61
155,48,50,1196
156,48,68,1565
157,48,79,535
158,48,87,146
159,48,88,55
160,48,90,482
161,48,100,653
162,48,107,498
163,48,113,381
164,48,114,299
165,48,125,115
166,48,137,314
167,48,144,280
168,48,148,279
169,48,158,465
170,48,161,1331
171,48,162,779
172,48,163,1209
173,48,164,884
174,48,170,708
175,48,186,1078
176,48,209,58
177,48,211,231
178,48,224,58
179,48,229,507
180,48,230,1646
181,48,231,389
182,48,232,100
183,48,233,385
184,48,234,922
185,48,246,1651
186,48,249,567
187,48,261,91
188,50,4,28
189,50,12,4
190,50,13,91
191,50,45,28
192,50,48,1108
194,50,68,577
195,50,79,221
196,50,87,61
197,50,88,32
198,50,90,255
199,50,100,367
200,50,107,175
201,50,113,238
202,50,114,138
203,50,125,44
204,50,137,80
205,50,144,131
206,50,148,109
207,50,158,206
208,50,161,532
209,50,162,258
210,50,163,531
211,50,164,416
212,50,170,260
213,50,186,465
214,50,209,28
215,50,211,117
216,50,224,37
217,50,229,143
218,50,230,727
219,50,231,204
220,50,232,55
221,50,233,125
222,50,234,360
223,50,246,589
224,50,249,289
225,50,261,45
226,68,4,181
227,68,12,10
228,68,13,398
229,68,45,109
230,68,48,1725
231,68,50,796
233,68,79,1066
234,68,87,252
235,68,88,96
236,68,90,894
237,68,100,510
238,68,107,961
239,68,113,980
240,68,114,591
241,68,125,250
242,68,137,349
243,68,144,504
244,68,148,480
245,68,158,892
246,68,161,891
247,68,162,552
248,68,163,666
249,68,164,890
250,68,170,842
251,68,186,922
252,68,209,97
253,68,211,571
254,68,224,137
255,68,229,277
256,68,230,1189
257,68,231,782
258,68,232,134
259,68,233,299
260,68,234,1851
261,68,246,1607
262,68,249,1307
263,68,261,146
264,79,4,930
265,79,12,4
266,79,13,181
267,79,45,210
268,79,48,433
269,79,50,162
270,79,68,661
272,79,87,357
273,79,88,98
274,79,90,634
275,79,100,317
276,79,107,1521
277,79,113,1073
278,79,114,1070
279,79,125,269
